Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2015.11.01.a,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,19,"Arms severely injured, surgically amputated",N
2015.11.01.b,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,Injury to right ankle/calf & hand,N
2015.11.03,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,Laceration to right ankle,N
2015.11.10,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,20,Injury to left thigh,N
2015.11.15.a,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,Lacerations to hand,N
2015.11.15.b,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,unknown,Leg injured,N
2015.11.16,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,unknown,Right heel injured,N
2015.11.20,2015,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,55,Lacerations to left calf,N
2015.12.08,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,Lacerations to both hands and forearms,N
2015.12.11,2015,Unprovoked,BAHAMAS,unknown,Off Andros Island,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N
2015.12.13,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,unknown,unknown,"No injury, shark rammed boat & bit motor",N
2015.12.19,2015,Unprovoked,ARUBA,unknown,Boat capsized,Sea disaster,M,58,FATAL,Y
2015.12.21.a,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,M,32,Right hand & part of forearm removed,N
2015.12.21.b,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,43,"No injury, shark leapt on surfboard",N
2015.12.22,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,"No injury, shark bit board",N
2015.12.23,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,Lower left leg injured,N
2015.12.25,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,Lacerations to left forearm,N
2015.12.26,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,M,unknown,"No injury, kayak damaged",N
2016.01.02,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,Lacerations to arms & leg,N
2016.01.05,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,11,Laceration to right calf,N
2016.01.11.R,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,unknown,Laceration to right foot,N
2016.01.23,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,No injury,N
2016.01.24.a,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,unknown,"No injury to occupants, shark leapt into boat",N
2016.01.24.b,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,unknown,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
2016.01.25,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,No injury,N
2016.01.28,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,unknown,Lacerations to both hands,N
2016.01.29,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,unknown,Kayak fishing,M,unknown,"No injury, shark capsized kayak",N
2016.02.04,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,40,"No injury, shark bit board",N
2016.02.05,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,Foot nipped,N
2016.02.10,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,unknown,"No injury, knocked off board",N
2016.02.10.R,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,M,65,Minor injury to wrist from Southern stingray,N
2016.02.12,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,F,unknown,Avulsion injury to lower leg,N
2016.02.19,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,31,Forearm bitten,N
2016.02.22,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,Puncture wounds to right thigh,N
2016.03.02,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,41,Minor injury to head,N
2016.03.03.R,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,unknown,Puncture wounds to right calf,N
2016.03.04,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",unknown,M,12,Superficial injury to foot,N
2016.03.10,2016,Unprovoked,Fiji,Vanua Levu,unknown,Diving for beche-de-mer,M,45,FATAL,Y
2016.03.11,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,Lacerations to right foot and ankle,N
2016.03.13,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,unknown,unknown,Board reportedly bumped by shark. No injury,N
2016.03.26,2016,Provoked,BAHAMAS,unknown,unknown,unknown,M,9,Minor injury to chest PROVOKED INCIDENT,N
2016.03.28.a,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N
2016.03.28.b,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",unknown,M,unknown,Minor injury to arm. Possibly caused by smalll nurse shark,N
2016.03.30,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,Severe injury to thigh,N
2016.03.31,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,Minor injury to left foot,N
2016.04.07.a,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,M,unknown,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N
2016.04.07.b,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,Left hand bitten,N
2016.04.08,2016,Invalid,CAPE VERDE,Boa Vista Island,unknown,unknown,M,60,"""Serious""",N
2016.04.09,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,FATAL,Y
2016.04.13,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,Multiple bites to right arm,N
2016.04.18,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N
2016.04.19,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,Minor puncture wound to foot,N
2016.04.22,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,unknown,"No injury, surf-ski bitten",N
2016.04.23,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N
2016.04.25,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,Elbow bitten,N
2016.05.02,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N
2016.05.03,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N
2016.05.15,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N
2016.05.18,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N
2016.05.21.a,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N
2016.05.21.b,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N
2016.05.22,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N
2016.05.29.a,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N
2016.05.29.b,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Injuries to arm and shoulder,N
2016.05.31,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y
2016.06.02.a,2016,Unprovoked,NEW CALEDONIA,unknown," Côte-Blanche, Nouméa ",Kite surfing,M,unknown,Laceration to heel,N
2016.06.02.b,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,unknown,"No injury, but sharks repeatedly hit their fins and guns",unknown
2016.06.04,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,"Leg severely bitten, surgically amputated",N
2016.06.05.a,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,FATAL,Y
2016.06.05.b,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N
2016.06.07,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,"No injury, board damaged",N
2016.06.11,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Laceration to wrist,N
2016.06.14,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,Injury to lower leg,N
2016.06.15.a,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N
2016.06.15.b,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,unknown,Single puncture wound to arm,N
2016.06.21.a,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,unknown,Injuries to right calf,N
2016.06.21.b,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N
2016.06.23,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,N
2016.06.24,2016,Unprovoked,COLUMBIA,Isla Provedencia,unknown,Scuba Diving,M,59,Severe bite to right hand,N
2016.06.25,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,N
2016.06.27,2016,Unprovoked,USA,South Carolina,Sullivan's Island,unknown,M,35,Minor injury,N
2016.07.04,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N
2016.07.06,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N
2016.07.07.a,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,unknown,"No injury. Hull bitten, tooth fragment recovered",N
2016.07.07.b,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N
2016.07.08,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,unknown,"No injury. Hull bitten, tooth fragment recovered",N
2016.07.08.R,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N
2016.07.14.R,2016,Unprovoked,BAHAMAS,unknown,Tiger Beach,Scuba Diving,M,unknown,Face bruised when partly blind shark collided with him,N
2016.07.15.a,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,unknown,Puncture wounds to foot,N
2016.07.15.b,2016,Unprovoked,USA,California,"Surfside, Orange County",Kite surfing,M,61,"No injury, board damaged",N
2016.07.16.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,F,11,Minor injury to toes,N
2016.07.16.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N
2016.07.17,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,unknown,unknown,"No injury, shark bit trolling motor",N
2016.07.20,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N
2016.07.23.a,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,unknown,Lacerations to face and right leg,N
2016.07.23.b,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N
2016.07.24,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,Lacerations to left leg,N
2016.07.26,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N
2016.07.27,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N
2016.07.28,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,unknown,"No injury, shark nudged kayak repeatedly",N
2016.07.28.R,2016,Unprovoked,CHINA,Hong Kong,unknown,Swimming,M,72,Lacerations to leg,N
2016.07.29,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N
2016.08.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N
2016.08.06,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",N
2016.08.07,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,N
2016.08.25,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,N
2016.08.27,2016,Unprovoked,REUNION,unknown,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",N
2016.08.29.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N
2016.08.29.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N
2016.09.00,2016,Invalid,MEXICO,unknown,Guadalupe Island,Cage Diving,unknown,unknown,"No injury to divers, shark breached cage",unknown
2016.09.01,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N
2016.09.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N
2016.09.05.a,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,unknown,"No inury, board broken in half by shark",N
2016.09.05.b,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N
2016.09.06,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,FATAL,Y
2016.09.07,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N
2016.09.11,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,unknown,Minor injury to arm,N
2016.09.15,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,unknown,No injury: Knocked off board by shark,N
2016.09.15.R,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,unknown,unknown,Shark rammed boat. No injury to occupant,N
2016.09.17.a,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,unknown,Struck by fin on chest & leg,N
2016.09.17.b,2016,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N
2016.09.18.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N
2016.09.18.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N
2016.09.18.c,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N
2016.09.26,2016,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N
2016.10.01,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N
2016.10.02,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N
2016.10.10,2016,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N
2016.10.12,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N
2016.10.13.R,2016,Invalid,MEXICO,unknown,Guadalupe Island,Cage Diving,M,unknown,"Shark breached cage, no injury to diver",N
2016.10.14,2016,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N
2016.10.15,2016,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,M,unknown,Torso nipped,N
2016.10.21,2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N
2016.10.24,2016,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N
2016.10.29,2016,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N
2016.10.30,2016,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N
2016.11.14,2016,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N
2016.11.28,2016,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N
2016.12.01,2016,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N
2016.12.06,2016,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N
2016.12.10,2016,Unprovoked,England,Suffolk,Felixstowe,Windsurfing,M,36,"No injury, board bitten",N
2016.12.11,2016,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Cuts to right ankle & foot,N
2016.12.14,2016,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N
2016.12.19,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",N
2016.12.24,2016,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,unknown,Buttock bitten,N
2016.12.27,2016,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N
2017.01.03,2017,Invalid,AUSTRALIA,New South Wales,Merimbula,Wading,M,20,Minor injuries to foot & toes,N
2017.01.05,2017,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N
2017.01.08.R,2017,Invalid,AUSTRALIA,Queensland,unknown,Spearfishing,M,35,"No attack, shark made a threat display",unknown
2017.01.09,2017,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N
2017.01.13.a,2017,Unprovoked,USA,Florida,Jensen Beach,unknown,M,unknown,Minor injury to hand,N
2017.01.13.b,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57,Injury to hand,N
2017.01.21,2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N
2017.01.22,2017,Unprovoked,USA,Florida,"Vero Beach, Indian River County",unknown,M,unknown,Puncture wounds to lower arm or hand,N
2017.02.01.a,2017,Unprovoked,BAHAMAS,Bimini,unknown,Scuba Diving,M,37,Lacerations to upper right arm,N
2017.02.01.b,2017,Boat,USA,South Carolina,16 miles off Hilton Head,Tagging sharks,unknown,unknown,"Shark bit boat, no injury to occupants",N
2017.02.06.a,2017,Boat,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,M,unknown,"Shark damaged kayak, no injury to occupant",N
2017.02.06.b,2017,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,unknown,"Minor injury to finger, PROVOKED INCIDENT",N
2017.02.11,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N
2017.02.17,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N
2017.02.21,2017,Unprovoked,REUNION,Saint-Andre,unknown,Body boarding,M,26,Fatal,Y
2017.02.24,2017,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,unknown,"No injury, shark struck board",N
2017.02.25,2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,unknown,Hand bitten,N
2017.03.09,2017,Unprovoked,BAHAMAS,Great Exuma,unknown,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N
2017.03.18,2017,Unprovoked,USA,California,Monterey Bay,Kayaking,M,unknown,"No injury, kayak bitten",N
2017.03.19,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,Minor,N
2017.03.27,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N
2017.04.02.a,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Abrasions to lower left leg & puncture wounds to right leg,N
2017.04.02.b,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N
2017.04.05,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N
2017.04.06,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N
2017.04.10.a,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to hand,N
2017.04.10.b,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N
2017.04.11,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N
2017.04.12.a,2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",unknown
2017.04.12.b,2017,Unprovoked,USA,Florida,St. Augustine,Surfing,F,unknown,Lacerations to right foot,N
2017.04.13,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N
2017.04.14,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N
2017.04.17.a,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y
2017.04.17.b,2017,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",unknown,unknown,unknown,Minor bite to the foot,N
2017.04.20,2017,Invalid,USA,South Carolina,Georgetown County,Swimming,M,unknown,Laceration & puncture wounds to left foot,N
2017.04.22,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N
2017.04.26,2017,Invalid,USA,Florida,unknown,Photo shoot,F,unknown,Alleged laceration to left ankle,unknown
2017.04.27,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,unknown,Puncture wounds & laceration above knee,N
2017.04.29.a,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y
2017.04.29.b,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N
2017.04.29.c,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N
2017.04.29.d,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",unknown,F,unknown,Major injury to posterior thigh,N
2017.05.03,2017,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",N
2017.05.06,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y
2017.05.06.R,2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N
2017.05.12,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N
2017.05.27,2017,unknown,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N
2017.05.28,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,unknown,Lacerations to right arm,N
2017.05.30,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N
2017.06.02,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N
2017.06.04,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,unknown,Laceration to shin,N
2017.06.07.R,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N
2017.06.10.a,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N
2017.06.10.b,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,unknown,"No injury, knocke off board",N
2017.06.11,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N
