Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2014.10.12,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,unknown,Laceration to right hand/wrist,N
2014.10.14,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N
2014.10.17,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N
2014.10.18,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,unknown,"No injury, surfboard bitten",N
2014.10.19,2014,Boat,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,unknown,"No injury to occupant, canoe bitten",N
2014.10.20,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,unknown,"No injury, paddleboard bitten",N
2014.10.22,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,unknown,"No injury, paddleboard bitten",N
2014.10.30,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N
2014.10.31,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N
2014.11.08,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N
2014.11.10,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,unknown,Minor injury to lower leg and foot,N
2014.11.13,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N
2014.11.16,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N
2014.11.17,2014,Boat,USA,California,"Franklin Point, San Mateo County",unknown,unknown,unknown,"Shark bumped boat, no injury to occupants",N
2014.11.19,2014,Boat,AUSTRALIA,Western Australia,Freo,Fishing,M,unknown,"Shark chasing fish bumped boat, no injury to occupants",N
2014.11.20,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),unknown,Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y
2014.11.29,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N
2014.12.03.R,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,unknown,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N
2014.12.15,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Y
2014.12.23.R,2014,Unprovoked,JAPAN,unknown,unknown,Diving / Filming,M,unknown,"No injury, shark snagged its teeth in diver's suit",N
2014.12.28.a,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,unknown,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N
2014.12.28.b,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N
2014.12.28.c,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,unknown,unknown,Minor cuts on feet,N
2014.12.28.d,2014,Sea Disaster,GREECE,unknown,33 nautical miles off Othonoi Island,unknown,unknown,unknown,"Of 9 bodies recovered, one was bitten by a shark",N
2014.12.29.a,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Y
2014.12.29.b,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,unknown,unknown,Lacerations to both feet,N
2015.01.01,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",unknown,M,12,Leg bitten,N
2015.01.03,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N
2015.01.06,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N
2015.01.08,2015,Invalid,USA,Florida,unknown,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N
2015.01.16,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N
2015.01.17,2015,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,unknown,"Shark bumped boat, no injury to occupants",N
2015.01.19.a,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,unknown,Board snapped in two,N
2015.01.19.b,2015,Boat,USA,Florida,Off Panama City,Fishing,M,unknown,No injury but shark bit trolling motor & rammed boat,N
